Executive Summary
=================
Total requests analyzed: 10000
Number of large requests (anomalies): 397
Most common status code: 200
Most common IP address: 20.171.207.17
ALERT: Large requests detected. Please review for potential abuse or misconfiguration.


Detailed Anomaly Data
====================

large_bytes:
id,ip_address,timestamp,request,status_code,bytes_sent,user_agent
9,20.171.207.17,,GET /wp-content/uploads/2021/01/f179731176.jpg HTTP/2.0,200,1033652,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
80,20.171.207.17,,GET /wp-content/gallery/royal-palace-of-turin-italy/MG_3019-thumb.jpg HTTP/2.0,200,1127199,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
390,20.171.207.17,,GET /wp-content/gallery/konopiste-czech-republic/landscape4-thumb.jpg HTTP/2.0,200,1184812,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
413,20.171.207.17,,GET /wp-content/gallery/valsavarenche-val-daosta-italy/landscape5.jpg HTTP/2.0,200,871087,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
502,20.171.207.17,,GET /wp-content/gallery/cappadocia-turkey/landscape1-thumb.jpg HTTP/2.0,200,773978,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
529,20.171.207.17,,GET /wp-content/gallery/shooglenifty-20060811-gromo/f240479048-thumb.jpg HTTP/2.0,200,755269,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
540,20.171.207.17,,GET /wp-content/gallery/shooglenifty-20060811-gromo/f241741048-thumb.jpg HTTP/2.0,200,795886,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
550,20.171.207.17,,GET /wp-content/gallery/shooglenifty-20060811-gromo/f241504704-thumb.jpg HTTP/2.0,200,800947,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
554,20.171.207.17,,GET /wp-content/gallery/co-kerry-ireland/2-thumb.jpg HTTP/2.0,200,777120,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
567,20.171.207.17,,GET /wp-content/gallery/concert-in-milan-italy/mg_1888-thumb.jpg HTTP/2.0,200,1028819,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
588,20.171.207.17,,GET /wp-content/gallery/valdigne-val-daosta/licony.1-thumb.jpg HTTP/2.0,200,877260,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
589,20.171.207.17,,GET /wp-content/gallery/valdigne-val-daosta/licony.2-thumb.jpg HTTP/2.0,200,1118107,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
593,20.171.207.17,,GET /wp-content/gallery/concert-in-milan-italy/mg_1879-thumb.jpg HTTP/2.0,200,1011999,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
597,20.171.207.17,,GET /wp-content/gallery/concert-in-milan-italy/mg_1859-thumb.jpg HTTP/2.0,200,798248,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
607,20.171.207.17,,GET /wp-content/gallery/concert-in-milan-italy/mg_1904-thumb.jpg HTTP/2.0,200,810193,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
611,20.171.207.17,,GET /wp-content/gallery/concert-in-milan-italy/mg_1823-thumb.jpg HTTP/2.0,200,1165411,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
612,20.171.207.17,,GET /wp-content/gallery/concert-in-milan-italy/mg_1832-thumb.jpg HTTP/2.0,200,828803,"Mozilla/5.0 AppleWebKit/537.36 (KHTML, like Gecko; compatible; GPTBot/1.2; +https://openai.com/gptbot)"
